transcript_id	gene_id	count
NM_017888	ACSM5	0
NM_207321	ACSM6	16
NM_001252675	ACSS1	0
NM_001252676	ACSS1	0
NM_001252677	ACSS1	0
NM_032501	ACSS1	77
NM_001076552	ACSS2	0
NM_001242393	ACSS2	0
NM_018677	ACSS2	915
NM_001330242	ACSS3	55
NM_001330243	ACSS3	187
NM_024560	ACSS3	1065
NM_001100	ACTA1	65
NM_001141945	ACTA2	28
NM_001320855	ACTA2	12
NM_001613	ACTA2	6
NR_125373	ACTA2-AS1	10
NM_001101	ACTB	50359
NM_001017992	ACTBL2	0
NM_005159	ACTC1	597
NR_038862	ACTE1P	356
NM_001199954	ACTG1	1393
NM_001614	ACTG1	67860
NR_037688	ACTG1	1278
NR_036446	ACTG1P17	47
NR_033926	ACTG1P20	177
NR_002929	ACTG1P25	97
NR_024438	ACTG1P4	17
NM_001199893	ACTG2	0
NM_001615	ACTG2	130
NM_001024675	ACTL10	74
NM_004301	ACTL6A	2311
NM_177989	ACTL6A	401
NM_178042	ACTL6A	37
NM_016188	ACTL6B	23
NR_134539	ACTL6B	0
NM_006687	ACTL7A	4
NM_006686	ACTL7B	0
NM_030812	ACTL8	29
NM_178525	ACTL9	0
NM_001102	ACTN1	5931
NM_001130004	ACTN1	0
NM_001130005	ACTN1	325
NR_073422	ACTN1-AS1	4
NM_001103	ACTN2	44
NM_001278343	ACTN2	44
NM_001278344	ACTN2	0
NM_001104	ACTN3	420
NM_001258371	ACTN3	0
NM_001322033	ACTN4	1772
NM_004924	ACTN4	3992
NM_018477	ACTR10	938
NM_005736	ACTR1A	3290
NM_005735	ACTR1B	1457
NM_001005386	ACTR2	0
NM_005722	ACTR2	4743
NM_001277140	ACTR3	2537
NM_005721	ACTR3	4164
NR_102318	ACTR3	1919
NR_110174	ACTR3-AS1	2
NM_001040135	ACTR3B	53
NM_001350940	ACTR3B	62
NM_001350941	ACTR3B	14
NM_001350942	ACTR3B	87
NM_001350943	ACTR3B	0
NM_001350944	ACTR3B	0
NM_001350945	ACTR3B	30
NM_001350946	ACTR3B	24
NM_020445	ACTR3B	154
NR_146946	ACTR3B	1
NR_146947	ACTR3B	48
NR_146948	ACTR3B	21
NR_146949	ACTR3B	5
NR_146950	ACTR3B	3
NR_146951	ACTR3B	15
NR_027714	ACTR3BP2	0
NR_045000	ACTR3BP5	0
NM_001164458	ACTR3C	18
NM_001164459	ACTR3C	0
NM_001351027	ACTR3C	0
NM_001351028	ACTR3C	90
NM_001351029	ACTR3C	0
NM_001351030	ACTR3C	22
NR_147012	ACTR3C	18
NR_147013	ACTR3C	86
NR_147014	ACTR3C	0
NR_147015	ACTR3C	0
NR_147016	ACTR3C	0
NR_147017	ACTR3C	0
NR_147018	ACTR3C	0
NR_147019	ACTR3C	40
NR_147020	ACTR3C	31
NR_147021	ACTR3C	0
NR_147022	ACTR3C	59
NM_024855	ACTR5	648
NM_022496	ACTR6	1049
NR_048568	ACTR6	28
NR_048569	ACTR6	17
NM_022899	ACTR8	1324
NM_138289	ACTRT1	4
NM_080431	ACTRT2	0
NM_032487	ACTRT3	165
NM_001105	ACVR1	284
NM_001111067	ACVR1	222
NM_001347663	ACVR1	194
